,,,,,,,,
ACESSO AO ENSINO SUPERIOR 2018 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
Classificações dos últimos colocados pelo contingente geral,,,,,,,,
,,,,,,,,
Código Instit.,Código Curso,Nome da Instituição,Nome do Curso,Grau,Vagas Iniciais,Colocados ,Nota do últ. colocado (cont. geral),"Sobras para
2ª fase"
1000,9023,Universidade do Minho,Ciências da Comunicação,L1,65,66,157.2,0
1000,9078,Universidade do Minho,Direito,L1,110,110,166.8,0
1000,9081,Universidade do Minho,Economia,L1,83,85,161.4,0
1000,9134,Universidade do Minho,Estudos Culturais,L1,20,20,130.6,0
1000,9138,Universidade do Minho,Estudos Portugueses e Lusófonos,L1,30,19,109.6,11
1000,9139,Universidade do Minho,Filosofia,L1,25,26,111.2,0
1000,9141,Universidade do Minho,Física,L1,24,25,140.4,0
1000,9146,Universidade do Minho,Geologia,L1,25,20,103.0,5
1000,9147,Universidade do Minho,Gestão,L1,73,73,165.4,0
1000,9181,Universidade do Minho,História,L1,35,35,131.0,0
1000,9192,Universidade do Minho,Línguas Aplicadas,L1,50,50,162.4,0
1000,9195,Universidade do Minho,Línguas e Literaturas Europeias,L1,59,60,136.8,0
1000,9209,Universidade do Minho,Matemática,L1,28,28,132.0,0
1000,9223,Universidade do Minho,Química,L1,22,22,132.6,0
1000,9229,Universidade do Minho,Relações Internacionais,L1,65,65,158.6,0
1000,9240,Universidade do Minho,Sociologia,L1,57,59,136.4,0
1000,9243,Universidade do Minho,Teatro,L1,25,25,126.0,0
1000,9257,Universidade do Minho,Arquitetura,MI,55,56,153.8,0
1000,9353,Universidade do Minho,Educação,L1,47,48,133.2,0
1000,9358,Universidade do Minho,Engenharia Biológica,MI,42,42,142.2,0
