;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Coimbra;Covilhã;Elvas;Évora;Faro;Felgueiras;Funchal;Guarda;Idanha-a-Nova;Lamego;Leiria;Lisboa;Matosinhos;Melgaço;Mirandela;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santarém;Seia;Setúbal;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Gaia;Vila Real;Viseu
Évora;1 349;0;2;4;2;0;5;0;3;30;2;4;8;14;9;21;5;8;860;22;0;0;1;2;0;8;263;0;0;0;8;0;0;8;0;0;27;7;7;2;3;0;10;3;0;0;0;1;0;0
Fafe; 595;0;2;0;0;0;21;11;0;0;157;49;0;0;4;64;17;0;2;1;42;0;5;2;1;3;15;10;0;21;2;0;6;0;0;5;0;0;74;0;2;1;1;1;1;12;2;14;37;10
Faro;1 681;1;0;4;2;0;4;1;0;21;3;4;2;11;0;40;4;4;29;1 294;0;0;1;1;0;2;195;1;0;2;16;0;0;1;0;0;4;3;6;9;1;0;5;1;0;0;0;1;2;6
Felgueiras; 803;0;5;0;0;0;15;4;0;1;84;92;2;2;3;68;6;0;5;1;173;0;5;0;1;10;16;23;0;32;0;1;0;2;1;0;0;0;117;0;0;0;0;0;2;7;6;24;87;8
Ferreira do Alentejo; 86;0;0;0;0;0;0;0;0;39;0;0;1;0;2;2;0;0;15;6;0;0;0;0;0;0;14;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;2;0;0;0;0;0;0;0
Ferreira do Zêzere; 137;0;0;1;0;0;6;0;0;0;0;0;1;2;4;37;4;0;2;3;0;0;3;2;0;15;23;0;0;0;1;0;1;2;0;0;2;0;3;3;4;0;0;18;0;0;0;0;0;0
Figueira da Foz;1 007;1;4;3;2;0;58;0;0;0;4;5;15;11;18;527;18;2;6;14;1;0;15;0;1;90;97;1;0;4;16;0;11;14;2;1;9;0;23;3;8;3;1;7;0;2;0;2;1;7
Figueira de Castelo Rodrigo; 62;0;0;0;0;0;2;0;0;1;0;2;1;1;6;7;12;0;0;1;0;0;13;1;1;0;5;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;3
Figueiró dos Vinhos; 58;1;0;0;0;0;2;0;0;0;0;0;0;1;5;25;0;0;2;1;0;0;0;1;0;9;5;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
Fornos de Algodres; 59;0;0;0;0;0;2;0;0;0;0;0;0;0;3;12;10;0;0;0;0;0;5;2;1;0;3;0;0;0;0;0;0;1;1;0;0;0;1;0;0;2;0;0;0;0;0;0;1;15
